INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766001, 13, 'Future Brand Orchestrator', 'Maryadi Marpaung', 'Bukunesia', 13, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766116, 13, 'Investor Metrics Strategist', 'Ajeng Rachmawati M.M.', 'Haru', 9, 2006);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766115, 38, 'Lead Accounts Coordinator', 'Ridwan Rayhan', 'Bintang Media', 14, 2022);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766117, 40, 'Forward Configuration Executive', 'Martana Darojat S.Sos', 'Bukunesia', 2, 2005);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766118, 37, 'Direct Solutions Manager', 'Wadi Budiman', 'Kata Depan', 13, 2006);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766119, 34, 'Direct Applications Planner', 'Irawati Andini', 'Inari', 13, 2009);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766120, 37, 'Internal Branding Executive', 'Karen Putri', 'Gradien Mediatama', 4, 2013);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766122, 14, 'District Branding Executive', 'Pardi Hidayat', 'Quanta', 1, 2000);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766121, 38, 'Corporate Security Supervisor', 'Clara Damayanti', 'Erlangga', 13, 2019);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766123, 40, 'Senior Research Officer', 'Argono Oktavian', 'Gagas Media', 14, 2021);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766124, 33, 'Senior Mobility Representative', 'Puti Farida', 'Deepublish', 12, 2007);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766125, 33, 'Central Implementation Associate', 'Hana Rachmawati', 'Grasindo', 1, 2010);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766126, 4, 'National Usability Engineer', 'Melani Widiastuti', 'Gradien Mediatama', 10, 2004);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766127, 33, 'Senior Identity Officer', 'Luis Napitupulu', 'Grasindo', 13, 2012);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766128, 10, 'Global Brand Assistant', 'Opung Narpati M.M.', 'Kata Depan', 11, 2019);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766129, 21, 'Investor Markets Executive', 'Adika Prasetyo', 'Grasindo', 12, 2009);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766130, 30, 'Global Metrics Liaison', 'Vera Saputri', 'Bukunesia', 12, 2006);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766131, 6, 'Internal Accounts Representative', 'Nadine Kuswandari', 'Grasindo', 15, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766132, 19, 'Future Security Officer', 'Gabriella Wahyuni S.Psi', 'Deepublish', 14, 2020);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766133, 6, 'Regional Tactics Agent', 'Unjani Sudiati', 'Erlangga', 1, 2022);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766134, 7, 'Forward Integration Executive', 'Hendri Permadi', 'Deepublish', 1, 2016);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766135, 16, 'Direct Interactions Architect', 'Hana Maharani', 'Bukunesia', 7, 2017);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766136, 48, 'District Response Coordinator', 'Ian Najmudin', 'Gagas Media', 6, 2004);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766137, 38, 'Global Identity Consultant', 'Karja Saefullah', 'Deepublish', 5, 2007);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766138, 34, 'Internal Division Facilitator', 'Wardi Saefullah', 'Mizan', 10, 2020);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766139, 32, 'District Creative Manager', 'Puput Fujiati S.Pd', 'Falcon', 14, 2016);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766140, 3, 'Principal Security Technician', 'Olivia Kahyang', 'Falcon', 4, 2015);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766142, 50, 'Legacy Markets Supervisor', 'Prita Prastuti', 'Deepublish', 8, 2019);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766143, 37, 'International Assurance Officer', 'Dyah Kuswandari S.Psi', 'Inari', 5, 2017);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766141, 16, 'Lead Applications Agent', 'Ami Ramadhani', 'Haru', 10, 2019);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766144, 2, 'Lead Program Manager', 'Jagaraga Anggriawan', 'Gagas Media', 12, 2000);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766145, 26, 'International Configuration Assistant', 'Estiawan Setiawan', 'Bintang Media', 15, 2006);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766146, 28, 'Internal Operations Producer', 'Anggun Winarsih S.E.I', 'Inari', 7, 2019);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766147, 34, 'Corporate Directives Designer', 'Puspita Prastuti S.T.', 'Inari', 3, 2019);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766148, 2, 'International Creative Manager', 'Mursinin Widodo', 'Kata Depan', 13, 2008);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766149, 46, 'National Security Associate', 'Harjo Oktovian', 'Gradien Mediatama', 14, 2022);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766150, 35, 'Internal Paradigm Representative', 'Sabar Putra', 'Mizan', 12, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766151, 15, 'Direct Factors Specialist', 'Mustika Pradana S.Psi', 'Gradien Mediatama', 11, 2005);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766152, 14, 'Chief Assurance Technician', 'Heru Adhitama', 'Haru', 10, 2016);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766153, 8, 'Dynamic Directives Assistant', 'Fara Nurlaela', 'Bukunesia', 1, 2000);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766154, 34, 'Global Security Planner', 'Hani Harini', 'Inari', 15, 2020);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766155, 36, 'Customer Accounts Executive', 'Kenes Saefullah S.Psi', 'Bintang Media', 13, 2015);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766156, 24, 'Customer Program Architect', 'Dariati Saefullah S.Pt', 'Gramedia', 8, 2016);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766157, 41, 'Product Web Manager', 'Rika Haryanti', 'Quanta', 7, 2011);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766158, 5, 'Forward Response Coordinator', 'Mahmud Gunawan', 'Haru', 15, 2007);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766159, 40, 'Forward Implementation Orchestrator', 'Rika Mulyani', 'Gradien Mediatama', 8, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766160, 47, 'Dynamic Program Executive', 'Prita Fathina', 'Gramedia', 13, 2006);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766161, 16, 'Dynamic Optimization Administrator', 'Najwa Fernanda S.Pt', 'Twigora', 11, 2011);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766162, 42, 'Future Response Assistant', 'Syahrini Salsabilla', 'Quanta', 10, 2020);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766164, 16, 'Customer Factors Architect', 'Dariati Nainggolan', 'Mizan', 5, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766163, 9, 'Dynamic Identity Associate', 'Rini Yolanda', 'Metagram', 6, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766165, 24, 'Internal Brand Representative', 'Tirta Haikal', 'Gramedia', 10, 2021);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766166, 21, 'Legacy Interactions Strategist', 'Cakrawangsa Himawan', 'Quanta', 8, 2000);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766167, 46, 'Direct Usability Officer', 'Prayogo Prayoga', 'Haru', 11, 2012);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766168, 31, 'Regional Infrastructure Producer', 'Septi Aqila S.Gz', 'Inari', 7, 2017);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766169, 36, 'Dynamic Metrics Director', 'Ditya Farida', 'Deepublish', 10, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766170, 36, 'Direct Brand Consultant', 'Mahmud Budiman', 'Grasindo', 14, 2000);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766171, 46, 'Forward Security Supervisor', 'Rahayu Mahestri S.Sos', 'Quanta', 15, 2017);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766173, 45, 'Forward Communications Architect', 'Kuncara Habibi', 'Haru', 5, 2004);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766172, 3, 'National Usability Designer', 'Elma Aryanti', 'Bintang Media', 1, 2001);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766174, 9, 'Dynamic Infrastructure Architect', 'Rahmawati Suryatmi', 'Bukunesia', 10, 2020);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766175, 25, 'Regional Metrics Representative', 'Aisyah Widiastuti', 'Deepublish', 1, 2008);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766176, 36, 'National Creative Strategist', 'Hesti Halimah M.TI.', 'Quanta', 14, 2021);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766177, 39, 'Dynamic Markets Technician', 'Dimaz Aswandi', 'Bintang Media', 5, 2020);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766178, 4, 'District Program Executive', 'Ulva Sudiati', 'Grasindo', 6, 2015);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766179, 41, 'Regional Communications Facilitator', 'Danuja Faresta', 'Bukunesia', 3, 2001);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766180, 26, 'Chief Accountability Officer', 'Yulia Mulyani S.Pt', 'Twigora', 4, 2001);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766181, 22, 'Lead Integration Administrator', 'Mahmud Latupono S.T.', 'Mizan', 2, 2021);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766182, 17, 'Human Paradigm Planner', 'Prasetyo Aswandi S.Farm', 'Mizan', 14, 2005);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766183, 37, 'District Directives Assistant', 'Zelaya Yolanda', 'Haru', 13, 2010);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766184, 12, 'Legacy Metrics Supervisor', 'Betania Mulyani S.Pd', 'Grasindo', 4, 2005);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766185, 15, 'Regional Identity Representative', 'Dimas Januar', 'Falcon', 15, 2022);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766186, 29, 'Dynamic Factors Supervisor', 'Vanya Haryanti', 'Falcon', 8, 2014);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766187, 43, 'Customer Usability Facilitator', 'Hadi Hutasoit', 'Inari', 7, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766188, 37, 'Chief Accountability Planner', 'Ulya Yolanda', 'Erlangga', 9, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766189, 18, 'Human Data Designer', 'Harto Zulkarnain S.Ked', 'Gramedia', 14, 2005);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766190, 13, 'Future Division Architect', 'Almira Laksmiwati', 'Gagas Media', 14, 2005);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766191, 23, 'Product Factors Analyst', 'Akarsana Widodo', 'Twigora', 15, 2001);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766192, 5, 'Direct Infrastructure Director', 'Tina Palastri', 'Erlangga', 2, 2011);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766193, 22, 'Senior Group Associate', 'Rita Haryanti', 'Grasindo', 3, 2017);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766194, 8, 'Senior Intranet Representative', 'Natalia Prastuti', 'Metagram', 15, 2012);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766195, 43, 'Corporate Infrastructure Administrator', 'Prabowo Latupono', 'Twigora', 15, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766196, 29, 'Internal Accountability Architect', 'Parman Maulana', 'Twigora', 12, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766198, 31, 'Forward Brand Assistant', 'Dasa Situmorang', 'Bintang Media', 3, 2010);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766197, 24, 'International Factors Engineer', 'Luhung Marpaung', 'Gramedia', 5, 2020);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766199, 9, 'Legacy Group Planner', 'Mujur Marbun', 'Inari', 3, 2005);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766200, 39, 'Human Usability Administrator', 'Niyaga Saefullah', 'Grasindo', 2, 2021);
